po_number,item,location,week,year,units,createDate
4501079120,20014461059,3220,18,2023,30.0,2023-01-13
4501090489,20014461059,3010,26,2023,2.0,2023-02-17
4501090467,20014461059,3000,23,2023,38.0,2023-02-17
4501090488,20014461059,3010,26,2023,2.0,2023-02-17
4501098364,20014461059,3000,28,2023,38.0,2023-03-09
4501086019,20014461059,3000,25,2023,21.0,2023-02-02
4501072838,20014461059,3000,20,2023,4.0,2022-12-22
4501110314,20014461059,3200,31,2023,21.0,2023-04-20
4501098593,20014461059,3220,26,2023,26.0,2023-03-10
4501068808,20014461059,3200,18,2023,15.0,2022-12-08
4501076315,20014461059,3210,18,2023,12.0,2023-01-05
4501098586,20014461059,3210,30,2023,5.0,2023-03-10
4501076299,20014461059,3010,22,2023,11.0,2023-01-05
4501074375,20014461059,3000,18,2023,6.0,2022-12-29
4501110311,20014461059,3200,31,2023,21.0,2023-04-20
4501090487,20014461059,3010,28,2023,17.0,2023-02-17
4501090485,20014461059,3010,26,2023,17.0,2023-02-17
4501082931,20014461059,3000,21,2023,10.0,2023-01-26
4501083160,20014461059,3010,22,2023,10.0,2023-01-26
4501084215,20014461059,3210,21,2023,14.0,2023-01-27
4501112655,20014461059,3000,33,2023,13.0,2023-04-27
4501098378,20014461059,3010,31,2023,31.0,2023-03-09
4501110324,20014461059,3200,32,2023,21.0,2023-04-20
4501076314,20014461059,3210,18,2023,12.0,2023-01-05
4501090490,20014461059,3010,31,2023,2.0,2023-02-17
4501090523,20014461059,3200,25,2023,24.0,2023-02-17
4501108120,20014461059,3000,31,2023,11.0,2023-04-13
4501090522,20014461059,3200,25,2023,24.0,2023-02-17
4501098377,20014461059,3010,30,2023,31.0,2023-03-09
4501098618,20014461059,3000,29,2023,38.0,2023-03-10
4501067103,20014461059,3010,19,2023,19.0,2022-12-02
4501083168,20014461059,3010,22,2023,10.0,2023-01-26
4501090471,20014461059,3000,27,2023,5.0,2023-02-17
4501086286,20014461059,3210,23,2023,15.0,2023-02-03
4501078404,20014461059,3200,20,2023,11.0,2023-01-12
4501084214,20014461059,3210,21,2023,14.0,2023-01-27
4501091223,20014461059,3220,24,2023,32.0,2023-02-17
4501072859,20014461059,3010,19,2023,18.0,2022-12-22
4501082927,20014461059,3000,19,2023,10.0,2023-01-26
4501090472,20014461059,3000,27,2023,5.0,2023-02-17
