#{"t_start": 1689883493.8249385, "env_id": "None"}
r,l,t
10375182.555661,5,2.117307
10375305.131638,5,2.125373
10375051.888966,5,2.1333
10375036.837398,5,2.1333
10375333.287647,5,2.141297
10374961.571311,5,2.150403
7774997.511806,5,2.150403
10375147.981838,5,2.150403
10375479.834705,5,2.167103
7775134.33335,5,2.175177
5175067.399367,5,2.183172
10375429.527663,5,2.183172
10375476.903128,5,2.191162
10375187.08473,5,2.19909
7775431.868641,5,2.19909
10375140.220557,5,2.215091
10375133.866783,5,2.22308
10375299.230475,5,2.22308
5175428.436646,5,2.235404
7775508.29115,5,2.241037
10375326.906842,5,2.242038
10375274.294184,5,2.242038
10375194.721933,5,2.242038
10375536.617018,5,2.263111
10375262.116864,5,2.271109
10375270.649271,5,2.279181
10375141.025928,5,2.279181
10375413.92004,5,2.287171
10374998.410003,5,2.295167
10374930.407568,5,2.295167
10375204.671907,5,2.303166
10375430.862486,5,2.311092
10375588.717547,5,2.316949
10375201.692463,5,2.316949
10375116.991049,5,2.316949
10375360.195375,5,2.33265
7775349.172115,5,2.33265
10375116.504709,5,2.33265
10375068.744601,5,2.348271
10375395.441104,5,2.348271
5175186.243654,5,2.348271
7675267.962944,5,2.369437
10375414.056551,5,2.377511
10375366.062612,5,2.377511
7775133.090621,5,2.38543
10375069.162693,5,2.393427
10375049.369073,5,2.401428
10375384.151748,5,2.401428
10375115.882224,5,2.409499
10375278.699162,5,2.417416
10375296.884165,5,2.417416
10375249.65465,5,2.425413
5175156.560641,5,2.433708
5175045.187865,5,2.433708
10375252.80581,5,2.433708
10375150.471054,5,2.449403
10375106.480991,5,2.449403
10375295.511221,5,2.449403
10375280.326078,5,2.46503
10375240.989515,5,2.46503
5075225.411052,5,2.480657
10375212.095872,5,2.485801
5175156.150422,5,2.517299
5175170.825658,5,2.525378
10375245.201648,5,2.525378
10375132.789537,5,2.533293
10375290.12142,5,2.541289
10375330.421397,5,2.549361
10375151.221256,5,2.557352
10375204.439517,5,2.557352
10375263.647345,5,2.565279
10375355.520291,5,2.573276
10375227.68671,5,2.573276
5175162.598813,5,2.581349
5075481.715692,5,2.589338
7675212.376401,5,2.600351
5175216.816828,5,2.600523
10375057.45399,5,2.608594
10375344.416857,5,2.616587
10374986.704964,5,2.616587
10375347.091614,5,2.624584
2575706.012619,5,2.632511
5075149.829591,5,2.640508
10375446.316222,5,2.640508
10375379.084096,5,2.648504
7775435.905728,5,2.6565
10374989.535803,5,2.664571
5175404.63568,5,2.667227
10375258.26175,5,2.667227
10375139.457396,5,2.667227
10375162.058132,5,2.682925
10375373.796342,5,2.682925
10375361.920195,5,2.697437
10375164.217235,5,2.697437
10374930.298029,5,2.697437
10375214.313977,5,2.718371
10375462.435144,5,2.726367
7775353.1697,5,2.726367
10375471.641987,5,2.734364
10375124.00655,5,2.745377
10375425.156104,5,2.749794
10375569.555422,5,2.749794
10375361.657216,5,2.757794
10375398.159143,5,2.76579
10375115.706865,5,2.76579
10375424.339812,5,2.773787
10374985.809558,5,2.783652
10375101.170379,5,2.783652
10375525.92884,5,2.783652
10375290.956257,5,2.797655
10375417.177496,5,2.797655
10375363.688759,5,2.797655
10375399.832118,5,2.813282
10375367.144233,5,2.813282
10375455.131387,5,2.813282
10374954.672756,5,2.834633
10375320.384354,5,2.842704
5175217.824093,5,2.842704
10375293.039992,5,2.850626
10374895.288237,5,2.858699
10375216.81769,5,2.866619
10374848.349373,5,2.866619
7774944.062429,5,2.874616
10375253.704193,5,2.882613
10374702.462642,5,2.882613
10375063.020599,5,2.895142
